Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
3	"DL Hall, S Aungst"	The use of soft sensors and I-space for improved combat ID	2008	Proceedings of the Air Force Laboratory Workshop on �	ceri.org	http://ceri.org/workshop/2008Workshops/HALL%20-%20CID%20paper.pdf	"https://scholar.google.com/scholar?cites=5160801643976065142&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	5	3/8/2017	PDF				0	0	0	0	3
0	"J Knox, S Aungst, T Bacastow, M Campbell�"	Fusion of Ground and Satellite Data via Army Battle Command System	2008	� of Multisensor Data �	crcnetbase.com	http://www.crcnetbase.com/doi/pdf/10.1201/9781420053098.ch30		8	3/8/2017					0	0	0	0	0
64	"SG Aungst, DT Wilson"	A primer for navigating the shoals of applying wireless technology to marketing problems	2005	Journal of Business & Industrial �	emeraldinsight.com	http://www.emeraldinsight.com/doi/pdf/10.1108/08858620510583650	"https://scholar.google.com/scholar?cites=17060775498838208897&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	1	3/8/2017					0	0	0	0	64
27	"S Aungst, R Barton, D Wilson"	The virtual integrated design method	2003	Quality Engineering	Taylor & Francis	http://www.tandfonline.com/doi/abs/10.1081/QEN-120018389	"https://scholar.google.com/scholar?cites=17006097591165468687&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	2	3/8/2017					0	0	0	0	27
4	"S Aungst, RR Barton, DT Wilson"	Integrating marketing models with quality function deployment	2003	Evaluating Marketing Actions �	emeraldinsight.com	http://www.emeraldinsight.com/doi/abs/10.1016/S1069-0964(03)12003-0	"https://scholar.google.com/scholar?cites=6043470755985568994&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	3	3/8/2017					0	0	0	0	4
4	"S Aungst, R Barton, DT Wilson"	Integrating marketing models	2002	ISBM Report			"https://scholar.google.com/scholar?cites=7047510251392452164&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	4	3/8/2017	CITATION				0	0	0	0	4
2	SG Aungst	Applications of Multidimensional Mapping Techniques to Quality Function Deployment	2000				"https://scholar.google.com/scholar?cites=15651797213413833709&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	6	3/8/2017	CITATION				0	0	0	0	2
3	"K Umapathy, S Purao, J Bagby"	Empirical analysis of anticipatory standardization processes: a case study	2012	Information Systems and e-Business �	Springer	http://link.springer.com/article/10.1007/s10257-011-0169-1	"https://scholar.google.com/scholar?cites=6834639030378886350&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	72	3/8/2017					0	0	0	0	3
0	JW Bagby	Academic Insider Trading	2012	Browser Download This Paper	papers.ssrn.com	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2563243		126	3/8/2017					0	0	0	0	0
1	JW Bagby	Environmental standardization for sustainability	2011	Green finance and sustainability: Environmentally- �	igi-global.com	http://www.igi-global.com/chapter/environmental-standardization-sustainability/53242	"https://scholar.google.com/scholar?cites=3252044038648152181&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	94	3/8/2017					0	0	0	0	1
3	"JC Ruhnka, JW Bagby"	Using ESI discovery teams to manage electronic data discovery	2010	Communications of the ACM	dl.acm.org	http://dl.acm.org/citation.cfm?id=1785453	"https://scholar.google.com/scholar?cites=9825520730685172503&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	63	3/8/2017					0	0	0	0	3
2	JW Bagby	"Role of Standardization in Technology Development, Transfer, Diffusion and Management, Vol. 3, Ch. 49, The Handbook of Technology Management, �"	2010		"John Wiley & Sons, Hoboken, NJ"		"https://scholar.google.com/scholar?cites=811391717256250784&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	79	3/8/2017	CITATION				0	0	0	0	2
0	JW Bagby	Evolving Institutional Structure and Public Policy Environment of Critical Infrastructures	2010	The Future of Pennsylvania				150	3/8/2017	CITATION				0	0	0	0	0
6	"H Xu, JW Bagby, TR Melonas"	Regulating privacy in wireless advertising messaging: FIPP compliance by policy vs. by design	2009	International Symposium on Privacy �	Springer	http://link.springer.com/chapter/10.1007/978-3-642-03168-7_2	"https://scholar.google.com/scholar?cites=6905272368940239107&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	41	3/8/2017					0	0	0	0	6
3	JW Bagby	"The Key Role of Standardization on Technology Development, Transfer, Diffusion and Management"	2009	The handbook of technology management	pdfs.semanticscholar.org	https://pdfs.semanticscholar.org/6061/795c374c670ed6869abec3f498784cedfdaf.pdf	"https://scholar.google.com/scholar?cites=6382503483706307410&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	65	3/8/2017	PDF				0	0	0	0	3
2	"K Umapathy, S Purao, JW Bagby"	Analyzing Processes behind Web Service Standards Development	2009	Workshop on E-Business	Springer	http://link.springer.com/chapter/10.1007/978-3-642-17449-0_13	"https://scholar.google.com/scholar?cites=16408832084431136952&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	80	3/8/2017					0	0	0	0	2
1	JW Bagby	Balancing the Public Policy Drivers in the Tension between Privacy and Security	2009	Cyber security and global information assurance: �	books.google.com	https://books.google.com/books?hl=en&lr=&id=zphkC5JN6hQC&oi=fnd&pg=PT187&dq=%22john+bagby%22&ots=87MkG4g2Nc&sig=mwZmPpPhy693GVYuvdiarjKdUy8	"https://scholar.google.com/scholar?cites=6321350251462638218&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	97	3/8/2017					0	0	0	0	1
0	J Bagby	KEY IMPEDIMENTS TO EFFECTIVE INSTRUCTOR SUPPORT: FINDINGS & RECOMMENDATIONS	2009		PENN STATE UNIVERSITY			127	3/8/2017	CITATION				0	0	0	0	0
9	"S Purao, J Bagby, K Umapathy"	Standardizing Web Services: Overcoming'Design by Committee'	2008	"Services-Part I, 2008. IEEE �"	ieeexplore.ieee.org	http://ieeexplore.ieee.org/abstract/document/4578328/	"https://scholar.google.com/scholar?cites=12790846422950681980&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	27	3/8/2017					0	0	0	0	9
2	"J Ruhnka, JW Bagby"	Forensic implications of metadata in electronic files	2008	The CPA Journal	search.proquest.com	http://search.proquest.com/openview/72fb3d295d6f48189095974381c9d3c9/1?pq-origsite=gscholar&cbl=41798	"https://scholar.google.com/scholar?cites=8379167102934302357&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	74	3/8/2017					0	0	0	0	2
1	"S Purao, V Vaishnavi, J Bagby, ..."	Using Problems to Learn Service-oriented Computing	2008	"Services-Part I, 2008 �"	ieeexplore.ieee.org	http://ieeexplore.ieee.org/abstract/document/4578289/	"https://scholar.google.com/scholar?cites=14430613109396549551&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	102	3/8/2017					0	0	0	0	1
8	"K Umapathy, S Paul, S Purao, JW Bagby, ..."	Avatars of participants in anticipatory standardization processes	2007	The Standards Edge. �	unf.edu	http://www.unf.edu/~n00611704/papers/Umapathy-Avatars-StdsEdgeChapter.pdf	"https://scholar.google.com/scholar?cites=15514307303894501170&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	30	3/8/2017	PDF				0	0	0	0	8
5	JW Bagby	The public policy environment of the privacy-security conundrum/complement	2007	Strategies and Policies in Digital Convergence	books.google.com	https://books.google.com/books?hl=en&lr=&id=DmQcIW7NAnQC&oi=fnd&pg=PT213&dq=%22john+bagby%22&ots=DjiOfCMqYh&sig=XMNxPxZnmClb66fjUdll6t17Mbk	"https://scholar.google.com/scholar?cites=17950217779291975412&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	48	3/8/2017					0	0	0	0	5
4	"J Bagby, T Mullen"	Legal ontology of sales law application to ecommerce	2007	Artificial Intelligence and Law	Springer	http://link.springer.com/article/10.1007/s10506-007-9027-3	"https://scholar.google.com/scholar?cites=3854270591915062399&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	60	3/8/2017					0	0	0	0	4
3	"J Ruhnka, JW Bagby"	Litigation support and risk management for pretrial discovery of electronically stored information	2007	The CPA Journal	search.proquest.com	http://search.proquest.com/openview/51299d43b9e56227131545d10c8a5b69/1?pq-origsite=gscholar&cbl=41798	"https://scholar.google.com/scholar?cites=14103740906241151783&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	64	3/8/2017					0	0	0	0	3
2	JW Bagby	An Overview of the Public Policy Impact on Standards Development	2007	chapter appearing in the collective work: Standards �			"https://scholar.google.com/scholar?cites=4954404625894056328&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	83	3/8/2017	CITATION				0	0	0	0	2
0	JW Bagby	The Revised Federal Rules as a Defining Moment for Integrating Cyber Forensics and Electronic Discovery	2007		commons.erau.edu	http://commons.erau.edu/adfsl/2007/session-1b/1/		128	3/8/2017	CITATION				0	0	0	0	0
0	"BJE Ottaviani, JW Bagby, KD Prinz"	When a business begins a blog	2007	Business Law Today	americanbar.org	http://www.americanbar.org/content/dam/aba/publications/blt/2007/01/when-business-begins-blog-200701.authcheckdam.pdf		152	3/8/2017	PDF				0	0	0	0	0
0	"JW Bagby, JC Ruhnka"	Electronic Data Discovery: Integrating Due Process into Cyber Forensic Practice	2006	"� of Digital Forensics, Security and Law �"	search.proquest.com	http://search.proquest.com/openview/0fd620a0664a28da8f59ac97e32c314c/1?pq-origsite=gscholar&cbl=55195		114	3/8/2017					0	0	0	0	0
0	"JE Ottaviani, JW Bagby, KD Prinz"	When A Business Begins a Blog	2006	Bus. L. Today	HeinOnline	http://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/busiltom16&section=42		120	3/8/2017					0	0	0	0	0
0	"JW Bagby, P Mitra, S Purao"	"Standards Development, Disruptive Innovation and the Nature of Participation: Lock-In, Lock-Out, Holdup"	2006		papers.ssrn.com	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2115235		122	3/8/2017					0	0	0	0	0
0	"JW Bagby, JC Ruhnka"	Paper Session IV: Development and Delivery of Coursework-The Legal/Regulatory/Policy Environment of Cyberforensics	2006		commons.erau.edu	http://commons.erau.edu/adfsl/2006/session-iv/1/		137	3/8/2017					0	0	0	0	0
0	"JW Bagby, JC Ruhnka"	Development and Delivery of Coursework: The Legal/Regulatory/Policy Environment of Cyberforensics	2006	Proceedings of the Conference on �	search.proquest.com	http://search.proquest.com/openview/367488f56d9f34e618a2fbb24057eba5/1?pq-origsite=gscholar&cbl=60415		146	3/8/2017					0	0	0	0	0
3	"JW Bagby, T Mullen"	Legal ontology of contract formation: Application to eCommerce	2005	"AAAI Workshop on Contexts and Ontologies�, �"	aaai.org	http://www.aaai.org/Papers/Workshops/2005/WS-05-01/WS05-01-023.pdf	"https://scholar.google.com/scholar?cites=10338719850867710194&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	66	3/8/2017	PDF				0	0	0	0	3
3	"P Mitra, S Purao, JW Bagby, K Umapathy, S Paul"	An empirical analysis of development processes for anticipatory standards	2005		papers.ssrn.com	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=850524	"https://scholar.google.com/scholar?cites=15779667315983127893&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	69	3/8/2017					0	0	0	0	3
2	"P Mitra, S Purao, JW Bagby, K Umapathy, S Paul"	"An Empirical Analysis of Development Processes for Anticipatory Standards�(NET Institute No. 05-18, October 2005)"	2005				"https://scholar.google.com/scholar?cites=2265344815027708558&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	76	3/8/2017	CITATION				0	0	0	0	2
0	"P Mitra, S Purao, JW Bagby, K Umapathy, S Paul"	NET Institute	2005		researchgate.net	https://www.researchgate.net/profile/Sandeep_Purao/publication/5198090_An_Empirical_Analysis_of_Development_Processes_for_Anticipatory_Standards/links/0fcfd5115dfe5431de000000.pdf		142	3/8/2017	PDF				0	0	0	0	0
0	JW Bagby	An Empirical Analysis of Development Processes for Anticipatory Standards	2005		archive.nyu.edu	https://archive.nyu.edu/handle/2451/28429		151	3/8/2017					0	0	0	0	0
7	"T Mullen, S Sun, V Avasarala, J Bagby, ..."	Implications of agent-based supply chain games	2004	"Systems, Man and �"	ieeexplore.ieee.org	http://ieeexplore.ieee.org/abstract/document/1400641/	"https://scholar.google.com/scholar?cites=13830034885257816963&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	33	3/8/2017					0	0	0	0	7
3	"JW Bagby, JC Ruhnka"	Protecting domain name assets	2004	The CPA Journal	search.proquest.com	http://search.proquest.com/openview/49f081b25e870a83650feec82bd09d86/1?pq-origsite=gscholar&cbl=41798	"https://scholar.google.com/scholar?cites=6721400730438278919&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	61	3/8/2017					0	0	0	0	3
1	JW Bagby	"Reconciling the Promise of Agency Law Doctrine with Contract, Tort and Property Law Restrictions on Electronic Agent Deployment"	2004	"Hurst Research Seminar, The Wharton School, �"			"https://scholar.google.com/scholar?cites=514059974750902650&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	96	3/8/2017	CITATION				0	0	0	0	1
13	JW Bagby	E-commerce law: issues for business	2003		Thomson/South-Western West		"https://scholar.google.com/scholar?cites=12034466975269023421&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	18	3/8/2017	CITATION				0	0	0	0	13
3	J Bagby	e-Commerce law	2003		THOMSON		"https://scholar.google.com/scholar?cites=1614927302032996548&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	71	3/8/2017	CITATION				0	0	0	0	3
2	JW Bagby	Cyberlaw handbook for e-commerce	2003		Thomson/South-western West		"https://scholar.google.com/scholar?cites=12595614489068966412&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	78	3/8/2017	CITATION				0	0	0	0	2
10	JW Bagby	Cyberlaw: A forward	2002	American Business Law Journal	Wiley Online Library	http://onlinelibrary.wiley.com/doi/10.1111/j.1744-1714.2002.tb00304.x/full	"https://scholar.google.com/scholar?cites=12612715410684666447&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	23	3/8/2017					0	0	0	0	10
6	"JW Bagby, FW McCarty"	The Legal and Regulatory Environment of E-business: Law for the Converging Economy	2002		dl.acm.org	http://dl.acm.org/citation.cfm?id=579648	"https://scholar.google.com/scholar?cites=4996404070527338508&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	43	3/8/2017	CITATION				0	0	0	0	6
37	"JM Stevens, JW Bagby"	Knowledge transfer from universities to business: Returns for all stakeholders?	2001	Organization	journals.sagepub.com	http://journals.sagepub.com/doi/pdf/10.1177/1350508401082012	"https://scholar.google.com/scholar?cites=15468579953136380400&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	6	3/8/2017					0	0	0	0	37
1	"JC Ruhnka, JW Bagby"	Protecting web domain names	2001	The CPA Journal	search.proquest.com	http://search.proquest.com/openview/fb2f568b9004b7b2e1e087e2878be244/1?pq-origsite=gscholar&cbl=41798	"https://scholar.google.com/scholar?cites=15821849890149665757&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	88	3/8/2017					0	0	0	0	1
33	JW Bagby	Business method patent proliferation: convergence of transactional analytics and technical scientifics	2000	The Business Lawyer	JSTOR	http://www.jstor.org/stable/40687983	"https://scholar.google.com/scholar?cites=1393121080561287604&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	8	3/8/2017					0	0	0	0	33
3	J Bagby	"Antitrust Aspects of Intellectual Property, 2000"	2000	Este documento puede ser consultado en http://www. �			"https://scholar.google.com/scholar?cites=3377290355450331751&as_sdt=5,39&sciodt=0,39&hl=en&num=20"	153	3/8/2017	CITATION				0	0	0	0	3
