Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
6	HA Zaidi, AW Awad, SA Chowdhry, D Fusco…	Microvascular decompression for hemifacial spasm secondary to vertebrobasilar dolichoectasia: surgical strategies, technical nuances and clinical outcomes	2015	Journal of Clinical …	Elsevier	http://www.sciencedirect.com/science/article/pii/S0967586814006018	https://scholar.google.com/scholar?cites=1211509502065611041&as_sdt=5,39&sciodt=0,39&hl=en&num=20	24	3/24/2017					0	0	0	0	6
4	DJ Fusco, RF Spetzler	Surgical considerations for intraventricular meningiomas	2015	World neurosurgery	mayoclinicproceedings.org	http://www.mayoclinicproceedings.org/article/S1878-8750(14)00764-5/abstract	https://scholar.google.com/scholar?cites=11592072756248962074&as_sdt=5,39&sciodt=0,39&hl=en&num=20	25	3/24/2017					0	0	0	0	4
1	J Russin, DJ Fusco, RF Spetzler	Left retrosigmoid craniotomy for cavernous malformation of the middle cerebellar peduncle	2014	Neurosurgical focus	thejns.org	http://thejns.org/doi/abs/10.3171/2014.V1.FOCUS13452	https://scholar.google.com/scholar?cites=6142184245964497786&as_sdt=5,39&sciodt=0,39&hl=en&num=20	30	3/24/2017					0	0	0	0	1
20	V Yanamadala, RW Williamson, DJ Fusco…	Malignant transformation of a vestibular schwannoma after gamma knife radiosurgery	2013	World neurosurgery	Elsevier	http://www.sciencedirect.com/science/article/pii/S1878875012004342	https://scholar.google.com/scholar?cites=10270948593085941365&as_sdt=5,39&sciodt=0,39&hl=en&num=20	17	3/24/2017					0	0	0	0	20
17	DA Wilson, DJ Fusco, SD Wait, P Nakaji	Endoscopic resection of colloid cysts: use of a dual-instrument technique and an anterolateral approach	2013	World neurosurgery	Elsevier	http://www.sciencedirect.com/science/article/pii/S1878875012007929	https://scholar.google.com/scholar?cites=145997941261118485&as_sdt=5,39&sciodt=0,39&hl=en&num=20	19	3/24/2017					0	0	0	0	17
8	RO Almefty, TL Tyree, DJ Fusco, SW Coons…	Primary histiocytic sarcoma of the brain mimicking cerebral abscess: Case report	2013	Journal of Neurosurgery: …	thejns.org	http://thejns.org/doi/abs/10.3171/2013.6.PEDS12533	https://scholar.google.com/scholar?cites=371902602786977004&as_sdt=5,39&sciodt=0,39&hl=en&num=20	22	3/24/2017					0	0	0	0	8
6	T Uschold, J Panchmatia, DJ Fusco, AA Abla…	Subaxial cervical juxtafacet cysts: single institution surgical experience and literature review	2013	Acta …	Springer	http://link.springer.com/article/10.1007/s00701-012-1549-0	https://scholar.google.com/scholar?cites=7668505457577055216&as_sdt=5,39&sciodt=0,39&hl=en&num=20	23	3/24/2017					0	0	0	0	6
1	DJ Fusco, WJ Jermakowicz, GD Consiglieri…	Long-Term Clinical and Radiographic Stability After Clip Reconstruction of a Midbasilar Dissecting Mycotic Aneurysm	2013	World neurosurgery	Elsevier	http://www.sciencedirect.com/science/article/pii/S1878875012008868	https://scholar.google.com/scholar?cites=12412635472262954499&as_sdt=5,39&sciodt=0,39&hl=en&num=20	31	3/24/2017					0	0	0	0	1
32	DJ Fusco, S Asteraki, RF Spetzler	Eagle's syndrome: embryology, anatomy, and clinical management	2012	Acta neurochirurgica	Springer	http://link.springer.com/article/10.1007/s00701-012-1385-2	https://scholar.google.com/scholar?cites=14796050078113640630&as_sdt=5,39&sciodt=0,39&hl=en&num=20	14	3/24/2017					0	0	0	0	32
30	DA Wilson, P Nakaji, AA Abla, TD Uschold…	A simple and quantitative method to predict symptomatic vasospasm after subarachnoid hemorrhage based on computed tomography: beyond the Fisher scale	2012	…	journals.lww.com	http://journals.lww.com/neurosurgery/Abstract/2012/10000/A_Simple_and_Quantitative_Method_to_Predict.23.aspx	https://scholar.google.com/scholar?cites=83591953685873939&as_sdt=5,39&sciodt=0,39&hl=en&num=20	15	3/24/2017					0	0	0	0	30
20	DA Wilson, DJ Fusco, TD Uschold, RF Spetzler…	Survival and functional outcome after surgical resection of intramedullary spinal cord metastases	2012	World neurosurgery	Elsevier	http://www.sciencedirect.com/science/article/pii/S1878875011008849	https://scholar.google.com/scholar?cites=2087559485886500046&as_sdt=5,39&sciodt=0,39&hl=en&num=20	18	3/24/2017					0	0	0	0	20
0	DJ Fusco	The Relationship between Students' High School Technology Experiences and Their Perceptions about College Readiness during Their First Year at a …	2012		ERIC	http://eric.ed.gov/?id=ED550567		38	3/24/2017	BOOK				0	0	0	0	0
0	DJ Fusco, R Williamson, V Yanamadala…	Malignant Transformation of a Vestibular Schwannoma Following Gamma Knife Radiosurgery: Case Report and Review of the Literature	2012	… Surgery Part B: Skull …	thieme-connect.com	https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0032-1312341		40	3/24/2017					0	0	0	0	0
36	AA Abla, JM Zabramski, HK Jahnke, D Fusco…	Comparison of two antibiotic-impregnated ventricular catheters: a prospective sequential series trial	2011	Neurosurgery	journals.lww.com	http://journals.lww.com/neurosurgery/Abstract/2011/02000/Comparison_of_Two_Antibiotic_Impregnated.27.aspx	https://scholar.google.com/scholar?cites=11929582347117130601&as_sdt=5,39&sciodt=0,39&hl=en&num=20	13	3/24/2017					0	0	0	0	36
24	T Uschold, AA Abla, D Fusco, RE Bristol…	Supracerebellar infratentorial endoscopically controlled resection of pineal lesions: case series and operative technique: Clinical article	2011	Journal of Neurosurgery: …	thejns.org	http://thejns.org/doi/abs/10.3171/2011.8.PEDS1157	https://scholar.google.com/scholar?cites=13700592766441167165&as_sdt=5,39&sciodt=0,39&hl=en&num=20	16	3/24/2017					0	0	0	0	24
9	DA Wilson, DJ Fusco, N Theodore	Delayed subarachnoid hemorrhage following failed odontoid screw fixation: Case report	2011	Journal of Neurosurgery: Spine	thejns.org	http://thejns.org/doi/abs/10.3171/2011.1.SPINE10561	https://scholar.google.com/scholar?cites=10079260334892346999&as_sdt=5,39&sciodt=0,39&hl=en&num=20	21	3/24/2017					0	0	0	0	9
2	DA Wilson, DJ Fusco, HL Rekate	Terminal ventriculostomy as an adjuvant treatment of complex syringomyelia: a case report and review of the literature	2011	Acta neurochirurgica	Springer	http://link.springer.com/article/10.1007/s00701-011-1020-7	https://scholar.google.com/scholar?cites=14090715027094329242&as_sdt=5,39&sciodt=0,39&hl=en&num=20	27	3/24/2017					0	0	0	0	2
0	D Fusco, RF Spetzler	Presurgical Simulation With Advanced 3-Dimensional Multifusion Volumetric Imaging in Patients With Skull Base Tumors COMMENT	2011		LIPPINCOTT WILLIAMS & WILKINS …			33	3/24/2017	CITATION				0	0	0	0	0
40	AA Abla, T Link, D Fusco, DA Wilson…	Comparison of dural grafts in Chiari decompression surgery: Review of the literature	2010	… Junction and Spine	meajo.org	http://www.meajo.org/article.asp?issn=0974-8237;year=2010;volume=1;issue=1;spage=29;epage=37;aulast=Abla	https://scholar.google.com/scholar?cites=13193197758291860707&as_sdt=5,39&sciodt=0,39&hl=en&num=20	12	3/24/2017	HTML				0	0	0	0	40
2	RA Lochhead, AA Abla, AP Mitha, D Fusco, K Almefty…	A history of the Barrow Neurological Institute	2010	World neurosurgery	Elsevier	http://www.sciencedirect.com/science/article/pii/S1878875010003621	https://scholar.google.com/scholar?cites=16656993936888497374&as_sdt=5,39&sciodt=0,39&hl=en&num=20	29	3/24/2017					0	0	0	0	2
